Status (Service Today),Priority,Item type,Requestor Site  ,Deadline,Modified,To workgroup  ,Revised_Deadline,Description
Open,High,Incident,Site A,2024-01-15,2024-01-10,IT Support,,Network connectivity issue
Closed,Medium,Request,Site B,2024-01-20,2024-01-12,IT Support,,Software installation request
In Progress,Low,Change,Site C,2024-01-25,2024-01-14,IT Support,2024-01-30,System configuration change
Closed,High,Incident,Site A,2024-01-18,2024-01-11,IT Support,,Server down emergency
Open,Medium,Request,Site B,2024-01-22,2024-01-13,IT Support,,Access request for new user
Closed,Low,Incident,Site C,2024-01-16,2024-01-09,IT Support,,Printer not working
In Progress,High,Change,Site A,2024-01-28,2024-01-15,IT Support,,Database migration
Closed,Medium,Request,Site B,2024-01-19,2024-01-10,IT Support,,Password reset request
Open,Low,Incident,Site C,2024-01-24,2024-01-12,IT Support,,Email delivery issues
Closed,High,Change,Site A,2024-01-17,2024-01-08,IT Support,,Security patch installation
In Progress,Medium,Incident,Site B,2024-01-26,2024-01-14,IT Support,,VPN connection problems
Closed,Low,Request,Site C,2024-01-21,2024-01-11,IT Support,,Software license renewal
Open,High,Change,Site A,2024-01-29,2024-01-16,IT Support,,Network infrastructure upgrade
Closed,Medium,Incident,Site B,2024-01-23,2024-01-13,IT Support,,Application crash
In Progress,Low,Request,Site C,2024-01-27,2024-01-15,IT Support,,Hardware replacement request
